fecha,demanda_gwh,precio_bolsa_cop_kwh,volumen_util_embalses_kwh,tipo_dia,ipc_var_anual_energia
2024-02-04,8.269920409166668,629.4920175331002,9541810000.0,Fin de semana,9.77
2024-02-05,9.296584599166666,624.9515056947997,9506563800.0,Día normal,9.77
2024-02-06,9.400681378749997,559.5550855369669,9454012100.0,Día normal,9.77
2024-02-07,9.27618642625,565.8412764892997,9395419800.0,Día normal,9.77
2024-02-08,9.282257030833332,426.05151680730006,9320810500.0,Día normal,9.77
2024-02-09,9.42022836791667,516.2323517043001,9233688200.0,Día normal,9.77
2024-02-10,9.134797158749999,531.4995828389333,9170551400.0,Fin de semana,9.77
2024-02-11,8.464736756250002,542.3743687390335,9104711000.0,Fin de semana,9.77
2024-02-12,9.601376624166665,571.8202601961,9008699500.0,Día normal,9.77
2024-02-13,9.772202092916665,595.2458538636336,8910765900.0,Día normal,9.77
2024-02-14,9.839531769583333,607.5986365735334,8817927700.0,Día normal,9.77
2024-02-15,9.900811267916664,598.5606076844335,8734589400.0,Día normal,9.77
2024-02-16,9.956591120416666,537.5406530012666,8651917200.0,Día normal,9.77
2024-02-17,9.563198918333333,564.3453604646,8566693000.0,Fin de semana,9.77
2024-02-18,8.691887119583333,548.6548360106002,8505949700.0,Fin de semana,9.77
2024-02-19,9.732633910416666,576.8081717515998,8398835500.0,Día normal,9.77
2024-02-20,9.805944454999999,581.0022994404998,8295161800.0,Día normal,9.77
2024-02-21,9.603396928749998,601.4362943311997,8206650700.0,Día normal,9.77
2024-02-22,9.525531695416664,501.5144706941334,8141838200.0,Día normal,9.77
2024-02-23,9.602357169166668,569.9581097636332,8061835900.0,Día normal,9.77
2024-02-24,9.260040559166667,586.6584725901333,7992990000.0,Fin de semana,9.77
2024-02-25,8.422287995,539.8879915557335,7949506300.0,Fin de semana,9.77
2024-02-26,9.492103918333335,560.4254818769668,7866628500.0,Día normal,9.77
2024-02-27,9.730488194999998,534.448300274,7784996700.0,Día normal,9.77
2024-02-28,9.870604029999999,466.7721731884,7693937200.0,Día normal,9.77
2024-02-29,9.951296326666666,495.51180168903323,7604355000.0,Día normal,9.77
2024-03-01,9.849415314166663,482.66594859076685,7514756200.0,Día normal,9.58
2024-03-02,9.4471295975,494.3946267879334,7424399100.0,Fin de semana,9.58
